Time [s],Fx_net [N/m],Fy_net [N/m],Fz_net [N/m],Fmag_net [N/m]
1.310007,51.65517506295396,-1.589625042119329e-32,33.26365394687384,61.43881334044299
1.320007,326.2611020865425,-1.3162419128001998e-32,77.120246421104,335.25190401066646
1.330009,87.16675787800021,-1.42982586809019e-32,42.702621023399594,97.06470790781788
1.340013,42.516047844365985,-1.3097560811135145e-32,36.156891753631356,55.81160404063148
1.350003,226.23144383460615,2.5692639877378397e-32,149.95151641296582,271.4150391080762
1.360004,227.89958213957016,-5.526459113316281e-32,110.19661106762828,253.14326503026072
1.370021,55.164445969798194,-1.5780828217214455e-32,45.67379868289984,71.61851705586236
1.380009,69.53533717810089,-1.7155606346804766e-32,61.78101924629792,93.0164364807834
1.390019,124.7109733747335,-3.7346452668119755e-33,30.022217136952726,128.27377129363518
1.400016,124.56491698326305,-3.6216213055590756e-32,72.40552111574576,144.079762739567
1.410013,9.710174673760733,-2.472305747829857e-32,96.38789982778121,96.87576954742259
1.420008,28.812255355692038,-3.83869953399265e-32,144.2700956876907,147.11902177630546
1.43002,132.90634003874416,-2.3179875183149379e-32,63.282650885848746,147.20322389687837
1.440007,115.91764469465562,-1.7045575939325742e-32,98.36467857979099,152.02799197405065
1.450006,68.95260901331187,-2.2125588870976876e-32,87.44056891263376,111.35670335236992
1.460005,32.56986096584963,-1.4872700742081552e-33,4.447420472799196,32.87210659809695
1.470023,143.0784025695717,-4.5803242659805457e-32,132.59497668843596,195.07141544795152
1.480015,27.284207485144375,-2.0980008897548254e-32,73.50061427858866,78.40132828863474
1.490001,108.91753786451929,-6.298935723876298e-32,183.06492276197412,213.0159524550134
1.500017,48.69147715488211,-1.968984372345627e-32,45.35687680291936,66.54401716788378
1.510012,38.19055013994341,-2.289158094367974e-32,59.471619059842375,70.6780842524084
1.520028,92.45501884255127,-1.343461631508855e-32,19.533645321554438,94.49599890325938
1.530007,72.0131905522505,-1.8156893432223794e-32,41.75483580239016,83.24281306154487
1.540022,156.3203492542362,-3.837799459945836e-32,69.69004550710622,171.1512606840771
1.550011,118.7402624974504,-4.2120387094049314e-32,109.0693106020449,161.23078010469578
1.560002,29.19200580560634,-1.1961510596072521e-32,36.54603222453153,46.773771221818876
1.570018,-2.1366164971826094,-1.1815684828081383e-33,3.216794477653538,3.861721995107258
1.580011,12.450154890460462,-6.349933614097434e-33,11.015172194913333,16.62348866153096
1.590009,224.28208307538057,-4.962731516474357e-32,137.57467685228676,263.1145083412221
1.60002,49.54809664419063,-5.6754023860675175e-33,11.45488643281303,50.8549732499261
1.610022,238.08574977908071,-6.403145370127187e-32,96.63251245070673,256.94876281158275
1.620017,47.41910446605844,-1.0306851282103643e-32,16.623730431102153,50.2485808934831
1.630026,65.43171796256684,-2.1181261821142797e-32,65.07416281661699,92.28193962968305
1.640013,-4.8557328884063296,2.3294945997502786e-33,-7.315745911237066,8.78056263125164
1.650018,10.556820953283504,-2.7518376942010492e-34,1.9638518819788806,10.737931963559726
1.660005,238.15044873967318,-3.9110374833740286e-32,45.929108880893736,242.53890260636683
1.670004,54.49255023499204,-1.8587877720373775e-32,35.403491683354325,64.98342292066854
1.680027,37.877689975527204,-8.930172905924794e-33,7.099466776467285,38.53727839887395
1.690018,88.11995257518517,-6.81231366572128e-32,211.25649661323868,228.89830362663724
1.700028,66.70685932163688,-7.151973797408209e-32,85.00318262544367,108.05251564406626
1.710018,216.4021604859408,-5.734256516106502e-32,99.07099118934512,238.00200914744855
