y_m,q_m,vnormal_m_s,speed_m_s,x_m,z_m,vx_m_s,vy_m_s,vz_m_s
-0.10198666,0.023749562543864924,0.20660840222178997,0.27195763085071734,0.0014840345,0.026430519,0.25700712,-0.04500962,-0.076696984
-0.091165759,0.020441756997504064,0.2057449253953396,0.2664913695593709,0.0045579551,0.024141852,0.25331062,-0.043858338,-0.070198476
-0.093323343,0.015899882039351006,0.17860670150392627,0.23459955103410982,0.0046378868,0.019241668,0.22131296,-0.043893874,-0.064271696
-0.092243202,0.012588656096939403,0.1686502131804805,0.22338972269691654,0.0048535266,0.015736017,0.21037251,-0.039408434,-0.063979298
-0.097052157,0.011632870249452688,0.159325922898065,0.2168377333640405,0.0060980595,0.015225962,0.20135793,-0.045135688,-0.066605978
-0.091802791,0.007719550830715349,0.13926477244934457,0.19141104591427383,0.010020547,0.012639684,0.17656566,-0.043789823,-0.059541646
-0.095464438,0.007496707184109707,0.14329761498989926,0.20312872523805156,0.01095311,0.012793445,0.18473607,-0.049456112,-0.068468653
-0.09303844,0.0070932339909997155,0.1862377489079548,0.22671905599297956,0.01516394,0.014142519,0.21729992,-0.054194789,-0.035287391
-0.090290159,0.005606912028948875,0.1781197030345896,0.2160860607708528,0.015368987,0.012614875,0.20577438,-0.059280831,-0.028911473
-0.083962031,0.021150699631598047,0.2130415278596709,0.2780999510648245,0.0054863254,0.025306089,0.26394388,-0.042538639,-0.076574638
-0.10330072,0.023412878796645668,0.2200847044740282,0.28754098287465263,0.0087087573,0.029131472,0.27133128,-0.057361588,-0.075952627
-0.071262039,0.03527204616581823,0.15394503426865902,0.24287079442009926,-0.026146876,0.027219463,0.21469666,-0.019799398,-0.11180139
-0.079794988,0.0360832679320719,0.15215245157612814,0.2346323996540644,-0.027129943,0.027683455,0.20950171,-0.01772131,-0.10415062
-0.066157356,0.03649211084193483,0.15081800812912283,0.240611217366499,-0.028014466,0.027752148,0.21172084,-0.018590327,-0.11279381
-0.070309475,0.038703702415585406,0.15262261201990174,0.24290331656055275,-0.030786959,0.02897788,0.21419021,-0.011411752,-0.11399275
-0.072044693,0.03512381063967243,0.1619551164957275,0.24825414082837205,-0.024511881,0.02775244,0.22206587,-0.022571109,-0.10866192
-0.08088702,0.031119204162232614,0.13440692599452927,0.21139693760880757,-0.022746507,0.024151351,0.18695956,-0.020738678,-0.096460849
-0.079233468,0.03169622613135136,0.14322286168917941,0.22168307881206295,-0.022340784,0.024950424,0.19767204,-0.015535867,-0.099135205
-0.069922194,0.027955569460627456,0.14399024615994857,0.23200625939422295,-0.016172215,0.023505125,0.20237572,-0.033946842,-0.10825241
-0.067986868,0.025660591091932368,0.14446242592196235,0.21934949024095723,-0.016465906,0.020887287,0.19661589,-0.02681195,-0.093474649
-0.063425094,0.026703129764433307,0.15411316445914325,0.23232824000664495,-0.015608719,0.022383714,0.20910215,-0.024722047,-0.098191254
-0.069351643,0.02389306841010079,0.15129600786764166,0.22391110979832582,-0.013048736,0.020417623,0.20254762,-0.0319045,-0.089959711
-0.075684622,0.023841130364811634,0.1497009011514176,0.22289266987360049,-0.012476383,0.020604149,0.2014472,-0.027150134,-0.091449648
-0.079924338,0.021597689431450198,0.16102833940067068,0.21470225478494526,-0.0084866779,0.019860493,0.20276941,-0.026108371,-0.065574214
-0.067396231,0.020333150959924554,0.1647571055200308,0.21584459195472014,-0.0072348993,0.019018097,0.20431238,-0.035850897,-0.059666175
-0.073172316,0.019542085709235355,0.17918818779159823,0.23044670109422352,-0.0047462406,0.019215088,0.22005032,-0.033263102,-0.059808902
-0.061535094,0.023065833578911798,0.16064231214806124,0.2202881439957655,-0.0099478709,0.020835187,0.20570876,-0.028468497,-0.07348685
-0.077323794,0.02888059307765154,0.17882110791224642,0.24953968046545766,-0.013648421,0.025581321,0.2315851,-0.030133175,-0.08792261
-0.060306881,0.0324072045148007,0.14151768533247677,0.22983792606886005,-0.023136277,0.025385136,0.20035492,-0.024960028,-0.10981974
