t_rel_s,t_actual_s,x_m,y_min_m,y_max_m
3.0,4.80006,-0.195,-0.125598291,0.12787788199999997
3.0,4.80006,-0.185,-0.1252998785,0.125012199
3.0,4.80006,-0.175,-0.1257405285,0.12546846149999996
3.0,4.80006,-0.16499999999999998,-0.125716974,0.125220374
3.0,4.80006,-0.15499999999999997,-0.126501915,0.12621295099999996
3.0,4.80006,-0.14499999999999996,-0.12545502,0.12527682
3.0,4.80006,-0.13499999999999995,-0.126518666,0.12799780399999988
3.0,4.80006,-0.12499999999999994,-0.125452073,0.1289873799999998
3.0,4.80006,-0.11499999999999994,-0.12740375799999998,0.12494095949999999
3.0,4.80006,-0.10499999999999993,-0.1256663975,0.126126905
3.0,4.80006,-0.09499999999999992,-0.126434043,0.12588006699999998
3.0,4.80006,-0.08499999999999991,-0.127359565,0.13187168999999999
3.0,4.80006,-0.0749999999999999,-0.12986267999999998,0.12524085599999998
3.0,4.80006,-0.06499999999999989,-0.125060028,0.12623031599999995
3.0,4.80006,-0.05499999999999988,-0.126785659,0.12575045699999998
3.0,4.80006,-0.04499999999999987,-0.127210923,0.12963694099999984
3.0,4.80006,-0.034999999999999865,-0.128034902,0.12662278
3.0,4.80006,-0.024999999999999856,-0.126130161,0.126382024
3.0,4.80006,-0.014999999999999847,-0.126311067,0.127304586
3.0,4.80006,-0.004999999999999838,-0.1280586995,0.12651796599999998
3.0,4.80006,0.005000000000000171,-0.13630142,0.136938976
3.0,4.80006,0.01500000000000018,-0.15788299549999998,0.137440661
3.0,4.80006,0.02500000000000019,-0.198460006,0.19540977399999993
3.0,4.80006,0.0350000000000002,-0.20405441000000002,0.19661197749999998
3.0,4.80006,0.045000000000000207,-0.206830666,0.21218693800000002
3.0,4.80006,0.055000000000000215,-0.21874521,0.20825876999999998
3.0,4.80006,0.06500000000000022,-0.212237904,0.2186514105
3.0,4.80006,0.07500000000000023,-0.2189422225,0.2223044275
3.0,4.80006,0.08500000000000024,-0.23023722,0.21447842
3.0,4.80006,0.09500000000000025,-0.21827499649999998,0.2312710835
3.0,4.80006,0.10500000000000026,-0.230259085,0.221801275
3.0,4.80006,0.11500000000000027,-0.225299073,0.22572949299999995
3.0,4.80006,0.12500000000000028,-0.2173487225,0.22253707250000002
3.0,4.80006,0.1350000000000003,-0.22611912399999998,0.22351961199999995
3.0,4.80006,0.1450000000000003,-0.22095253999999998,0.22174802999999998
3.0,4.80006,0.1550000000000003,-0.22019738249999998,0.2168923125
3.0,4.80006,0.1650000000000003,-0.208267509,0.21802538899999976
3.0,4.80006,0.17500000000000032,-0.212921866,0.21314959999999994
3.0,4.80006,0.18500000000000033,-0.2085513625,0.2075692625
3.0,4.80006,0.19500000000000034,-0.20179895399999997,0.209619694
3.0,4.80006,0.20500000000000035,-0.199588635,0.19185658049999998
3.0,4.80006,0.21500000000000036,-0.191489633,0.19527818199999994
3.0,4.80006,0.22500000000000037,-0.18721458700000002,0.18360722699999998
3.0,4.80006,0.23500000000000038,-0.174995587,0.182726658
3.0,4.80006,0.24500000000000038,-0.173969745,0.174128292
3.0,4.80006,0.2550000000000004,-0.15982272,0.163560262
3.0,4.80006,0.2650000000000004,-0.1525327325,0.1544318525
3.0,4.80006,0.2750000000000004,-0.142610921,0.1398356055
3.0,4.80006,0.2850000000000004,-0.128051468,0.1256514495
3.0,4.80006,0.29500000000000043,-0.110262804,0.107461674
3.0,4.80006,0.30500000000000044,-0.08849442485,0.08459697444999999
3.0,4.80006,0.31500000000000045,-0.048837181,0.068941791
