idp,final_x,final_y,final_z,final_rhop,mass_kg,ever_overtop,ever_leak,final_category
150032,0.52314156,2.6020329,1.4519713,1703.686,212.96075,0,0,upstream
150033,0.76159626,2.6252847,1.7897406,1701.8693,212.7336625,0,0,upstream
150034,0.48317796,2.6726727,2.2918351,1703.4819,212.9352375,0,0,upstream
150035,1.0257535,2.6897609,2.4068744,1701.9823,212.7477875,0,0,upstream
150036,0.63256824,2.677206,2.8895643,1702.535,212.816875,0,0,upstream
150037,1.0389057,2.7252924,3.1245334,1702.2631,212.7828875,0,0,upstream
150038,0.9085995,2.7604711,3.4868472,1701.5897,212.6987125,0,0,upstream
150039,0.79437965,2.748296,3.858083,1702.0266,212.753325,0,0,upstream
150040,1.1236057,2.7866166,4.0701904,1701.9896,212.7487,0,0,upstream
150041,1.3379266,2.9439366,4.2929749,1702.0844,212.76055,0,0,upstream
150042,1.0402043,2.8533506,4.6526794,1700.9966,212.624575,0,0,upstream
150043,1.3405094,2.8999512,4.8460827,1700.9586,212.619825,0,0,upstream
150044,1.6465433,3.4600706,4.7617826,1701.8083,212.7260375,0,0,upstream
150045,1.5968165,3.2221673,5.0589151,1700.9994,212.624925,0,0,upstream
150046,1.5361475,3.3768792,5.3183942,1701.524,212.6905,0,0,upstream
150047,2.1220896,3.7474227,5.0555472,1703.3422,212.917775,0,0,upstream
150048,2.5796285,4.1417394,5.1186705,1700.5999,212.5749875,0,0,upstream
150049,2.2381167,4.3014359,5.4057775,1700.7966,212.599575,0,0,upstream
150050,2.1215613,3.8415966,5.5154939,1701.4734,212.684175,0,0,upstream
150051,3.1665912,4.3218408,5.4221239,1700.9196,212.61495,0,0,upstream
150052,3.591229,4.8112469,5.4018588,1697.8801,212.2350125,0,0,upstream
150053,3.2342176,4.8805466,5.6686859,1701.2649,212.6581125,0,0,upstream
150054,2.036953,4.6588426,6.1805124,1703.675,212.959375,0,0,upstream
150055,4.017519,5.3076048,5.8610897,1702.8647,212.8580875,0,0,upstream
150056,4.44031,5.3715434,5.6802206,1699.8519,212.4814875,0,0,upstream
150057,5.822669,5.5435247,5.6948237,1699.4781,212.4347625,0,0,upstream
150058,5.4965529,5.4453197,5.9145484,1700.4165,212.5520625,0,0,upstream
