time_s,x_m,z_top_m
7.600000,31.760183,7.172347
7.600000,32.260183,7.153616
7.600000,32.760183,6.370011
7.600000,33.260183,7.076446
7.600000,33.760183,7.060427
7.600000,34.260183,7.089835
7.600000,34.760183,6.297109
7.600000,35.260183,6.975975
7.600000,35.760183,6.969375
7.600000,36.260183,6.972805
7.600000,36.760183,6.030213
7.600000,37.260183,6.839254
7.600000,37.760183,6.841754
7.600000,38.260183,6.775186
7.600000,38.760183,6.854232
7.600000,39.260183,6.757975
7.600000,39.760183,6.752809
7.600000,40.260183,6.786289
7.600000,40.760183,6.803725
7.600000,41.260183,6.727542
7.600000,41.760183,6.681807
7.600000,42.260183,6.194723
7.600000,42.760183,6.662494
7.600000,43.260183,5.725628
7.600000,43.760183,6.589865
7.600000,44.260183,5.806336
7.600000,44.760183,6.564120
7.600000,45.260183,6.578478
7.600000,45.760183,6.495835
7.600000,46.260183,6.486408
7.600000,46.760183,6.516518
7.600000,47.260183,6.467499
7.600000,47.760183,5.305670
7.600000,48.260183,6.422551
7.600000,48.760183,6.374581
7.600000,49.260183,6.463274
7.600000,49.760183,6.409491
7.600000,50.260183,6.297338
7.600000,50.760183,6.307037
7.600000,51.260183,6.286503
7.600000,51.760183,6.289411
7.600000,52.260183,5.532124
7.600000,52.760183,6.319638
7.600000,53.260183,6.283794
7.600000,53.760183,5.649465
7.600000,54.260183,5.287862
7.600000,54.760183,6.214621
7.600000,55.260183,5.792707
7.600000,55.760183,6.297064
7.600000,56.260183,6.256238
7.600000,56.760183,6.246767
7.600000,57.260183,6.341438
7.600000,57.760183,6.302783
7.600000,58.260183,5.437633
7.600000,58.760183,6.340144
7.600000,59.260183,6.350250
7.600000,59.760183,6.393797
7.600000,60.260183,6.354720
7.600000,60.760183,6.378450
7.600000,61.260183,6.635091
7.600000,61.760183,6.576081
7.600000,62.260183,5.629287
7.600000,62.760183,6.731253
7.600000,63.260183,6.881737
7.600000,63.760183,6.891272
7.600000,64.260183,27.793596
7.600000,64.760183,27.634895
7.600000,65.260183,27.542458
7.600000,65.760183,7.276171
7.600000,66.260183,27.588301
7.600000,66.760183,7.756515
7.600000,67.260183,7.793669
7.600000,67.760183,7.968849
7.600000,68.260183,8.157761
7.600000,68.760183,8.692787
7.600000,69.260183,9.402284
7.600000,69.760183,9.368059
7.600000,70.260183,27.162777
7.600000,70.760183,10.102329
7.600000,71.260183,10.800681
7.600000,71.760183,16.476137
7.600000,72.260183,16.412279
7.600000,72.760183,14.985410
7.600000,73.260183,16.883577
7.600000,73.760183,19.119318
7.600000,74.260183,23.049044
7.600000,74.760183,19.879482
7.600000,75.260183,19.535379
7.600000,75.760183,19.196791
7.600000,76.260183,19.051025
7.600000,76.760183,18.896875
7.600000,77.260183,17.957886
7.600000,77.760183,18.733492
7.600000,78.260183,18.599749
7.600000,78.760183,18.104744
7.600000,79.260183,18.013254
7.600000,79.760183,16.968185
7.600000,80.260183,17.496162
7.600000,80.760183,17.068979
7.600000,81.260183,16.394787
7.600000,81.760183,15.548922
7.600000,82.260183,14.820365
7.600000,82.760183,14.519667
7.600000,83.260183,14.149190
7.600000,83.760183,13.463637
7.600000,84.260183,12.453926
10.000000,0.775948,6.688508
10.000000,1.275948,6.054822
10.000000,1.775948,6.800345
10.000000,2.275948,6.451562
10.000000,2.775948,6.770239
10.000000,3.275948,6.681758
10.000000,3.775948,6.643855
10.000000,4.275948,6.549687
10.000000,4.775948,6.746747
10.000000,5.275948,6.675553
10.000000,5.775948,6.685989
10.000000,6.275948,6.725645
10.000000,6.775948,5.677958
10.000000,7.275948,6.012988
10.000000,7.775948,6.769000
10.000000,8.275948,6.695354
10.000000,8.775948,5.706392
10.000000,9.275948,6.717250
10.000000,9.775948,6.737806
10.000000,10.275948,6.768244
10.000000,10.775948,6.733002
10.000000,11.275948,6.720936
10.000000,11.775948,6.754043
10.000000,12.275948,6.718856
10.000000,12.775948,6.691584
10.000000,13.275948,6.733723
10.000000,13.775948,6.699717
10.000000,14.275948,6.736661
10.000000,14.775948,5.625584
10.000000,15.275948,6.674745
10.000000,15.775948,6.680949
10.000000,16.275948,6.684004
10.000000,16.775948,6.670706
10.000000,17.275948,6.701950
10.000000,17.775948,6.639377
10.000000,18.275948,6.669947
10.000000,18.775948,6.642940
10.000000,19.275948,6.591548
10.000000,19.775948,6.646359
10.000000,20.275948,6.647155
10.000000,20.775948,6.688540
10.000000,21.275948,6.589071
10.000000,21.775948,6.609695
10.000000,22.275948,6.660788
10.000000,22.775948,5.741401
10.000000,23.275948,6.564017
10.000000,23.775948,6.730071
10.000000,24.275948,5.991293
10.000000,24.775948,6.535971
10.000000,25.275948,5.709405
10.000000,25.775948,6.613303
10.000000,26.275948,5.300356
10.000000,26.775948,6.530894
10.000000,27.275948,5.781706
10.000000,27.775948,6.561525
10.000000,28.275948,6.585068
10.000000,28.775948,6.548895
10.000000,29.275948,6.643329
10.000000,29.775948,5.724705
10.000000,30.275948,6.496651
10.000000,30.775948,5.835179
10.000000,31.275948,6.551746
10.000000,31.775948,6.555314
10.000000,32.275948,6.487449
10.000000,32.775948,5.631785
10.000000,33.275948,6.566607
10.000000,33.775948,6.598271
10.000000,34.275948,6.585160
10.000000,34.775948,5.585844
10.000000,35.275948,5.749004
10.000000,35.775948,6.651913
10.000000,36.275948,5.796469
10.000000,36.775948,6.661911
10.000000,37.275948,6.663836
10.000000,37.775948,6.820111
10.000000,38.275948,6.884386
10.000000,38.775948,5.946033
10.000000,39.275948,6.759941
10.000000,39.775948,6.129340
10.000000,40.275948,7.111046
10.000000,40.775948,6.980908
10.000000,41.275948,6.970001
10.000000,41.775948,9.116940
10.000000,42.275948,8.307010
10.000000,42.775948,9.493209
10.000000,43.275948,8.450144
10.000000,43.775948,9.834289
10.000000,44.275948,9.069172
10.000000,44.775948,10.021800
10.000000,45.275948,10.146282
10.000000,45.775948,9.198642
10.000000,46.275948,9.789433
10.000000,46.775948,10.520968
10.000000,47.275948,10.590694
10.000000,47.775948,9.601123
10.000000,48.275948,10.691783
10.000000,48.775948,10.091157
10.000000,49.275948,11.004325
10.000000,49.775948,10.085877
10.000000,50.275948,11.149601
10.000000,50.775948,11.368651
10.000000,51.275948,11.355994
10.000000,51.775948,11.446638
10.000000,52.275948,11.686573
10.000000,52.775948,11.767570
10.000000,53.275948,10.928569
10.000000,53.775948,11.787125
10.000000,54.275948,12.076177
10.000000,54.775948,12.067400
10.000000,55.275948,12.268076
10.000000,55.775948,12.296072
10.000000,56.275948,12.025314
10.000000,56.775948,11.620901
10.000000,57.275948,12.293831
10.000000,57.775948,12.344588
10.000000,58.275948,11.964571
10.000000,58.775948,12.186544
10.000000,59.275948,12.464567
10.000000,59.775948,12.391531
10.000000,60.275948,12.141003
10.000000,60.775948,11.361380
10.000000,61.275948,12.333219
10.000000,61.775948,12.026446
10.000000,62.275948,11.791254
10.000000,62.775948,11.839471
10.000000,63.275948,11.847300
10.000000,63.775948,11.889511
10.000000,64.275948,11.489193
10.000000,64.775948,11.554420
10.000000,65.275948,10.904521
10.000000,65.775948,11.392591
10.000000,66.275948,11.131187
10.000000,66.775948,10.991653
10.000000,67.275948,11.101905
10.000000,67.775948,10.926053
10.000000,68.275948,10.928793
10.000000,68.775948,10.835661
10.000000,69.275948,10.887896
10.000000,69.775948,9.921089
10.000000,70.275948,10.651636
10.000000,70.775948,10.680519
10.000000,71.275948,10.651665
10.000000,71.775948,8.882420
10.000000,72.275948,10.643753
10.000000,72.775948,9.243207
10.000000,73.275948,8.863463
10.000000,73.775948,10.498952
10.000000,74.275948,10.518415
10.000000,74.775948,9.091242
10.000000,75.275948,10.500442
10.000000,75.775948,10.563361
10.000000,76.275948,9.947204
10.000000,76.775948,10.020658
10.000000,77.275948,10.950202
10.000000,77.775948,11.267551
10.000000,78.275948,11.330094
10.000000,79.275948,12.173970
10.000000,79.775948,12.430120
10.000000,80.275948,12.211856
10.000000,80.775948,12.211713
10.000000,81.275948,12.226942
10.000000,81.775948,12.198709
10.000000,82.275948,12.196283
10.000000,82.775948,12.212720
10.000000,83.275948,12.179250
10.000000,84.275948,11.343844
10.000000,84.775948,10.831085
10.000000,85.275948,10.440768
10.000000,85.775948,8.766525
10.000000,86.775948,7.582502
10.000000,87.275948,1.351905
10.000000,87.775948,1.306606
10.000000,88.275948,1.178342
10.000000,89.275948,1.934097
10.000000,89.775948,1.045644
10.000000,90.275948,1.536383
10.000000,90.775948,1.199156
10.000000,91.275948,1.303527
10.000000,92.275948,1.370505
10.000000,92.775948,1.330003
10.000000,93.275948,1.698072
10.000000,94.275948,1.673729
10.000000,95.275948,1.606464
10.000000,95.775948,2.379064
10.000000,96.275948,2.432588
10.000000,96.775948,2.283803
10.000000,97.275948,6.367408
10.000000,97.775948,6.401095
10.000000,98.275948,6.416644
10.000000,98.775948,5.853505
