idp,x,y,z,category
166851,27.753094,4.9403758,2.3031471,trapped
166852,27.34721,4.9000802,2.4857485,trapped
166853,30.483154,4.649734,2.6080997,trapped
166854,26.739655,4.791193,2.454926,trapped
166855,29.875368,4.701694,2.6029634,trapped
166856,29.6593,5.1149397,2.6280961,trapped
166857,28.868835,4.9061799,2.6943412,trapped
166858,31.648785,4.8464966,2.5652211,trapped
166859,28.500673,5.1115046,2.9440167,trapped
166860,32.293617,4.9893236,2.857671,trapped
166861,32.772572,5.2942767,3.2223566,trapped
166862,34.854477,5.322156,2.9885581,trapped
166863,31.193726,5.3830647,2.9276385,trapped
166864,35.878273,5.1050076,3.0624127,trapped
166865,33.838043,5.6913052,3.0036628,trapped
166866,36.971817,5.7412252,3.1444919,trapped
166867,35.868038,5.7743831,3.1283131,trapped
166868,33.262783,5.5178204,3.1059868,trapped
166869,37.477383,5.6215758,3.0727129,trapped
166870,34.637699,5.959024,3.4215777,trapped
166871,38.147934,6.1138701,3.2771618,trapped
166872,37.102684,6.0181684,3.6369081,trapped
166873,37.636387,5.9964013,3.5135825,trapped
166874,39.777065,6.5303326,3.7237344,trapped
166875,38.675316,6.5767512,3.6447513,trapped
166876,40.421379,6.5900207,3.6037908,trapped
166877,39.257759,6.8138113,3.6406548,trapped
166878,42.74025,7.1410379,3.8781245,trapped
166879,40.769314,7.3923721,3.6098299,trapped
166880,44.162708,7.5354705,4.1284151,trapped
166881,43.765175,7.7570777,4.1830659,trapped
166882,45.975765,7.8596883,4.1959848,trapped
166883,45.779072,8.0187674,4.8228936,trapped
166884,46.839893,8.0805387,4.6774077,trapped
166885,49.143345,8.5965195,5.2919154,trapped
166886,49.79694,8.7931108,5.4725165,trapped
166887,52.958748,9.3471651,6.2833338,trapped
166888,53.836647,8.9879255,6.7062097,trapped
166889,54.268326,8.9098425,7.2961235,trapped
166890,5.5376921,6.5476685,0.64770991,trapped
166891,6.7956176,6.4550447,0.88770896,trapped
166892,7.5816145,6.2673717,0.81461912,trapped
166893,11.36952,6.1292052,1.4940668,trapped
166894,12.330036,6.0407214,1.2861681,trapped
166895,16.044228,5.8157911,1.5791366,trapped
166896,16.40621,5.812995,1.3066423,trapped
166897,16.946089,5.7045321,1.401861,trapped
166898,18.903467,5.7878499,1.6421193,trapped
166899,21.54233,5.3425183,1.6979502,trapped
166900,22.074589,5.2573762,1.2515143,trapped
166901,21.11492,5.4913011,1.7934536,trapped
166902,23.955877,5.1596823,1.744868,trapped
166903,23.492268,5.2563453,1.825242,trapped
166904,27.032349,5.1749969,1.9667169,trapped
166905,24.284357,5.4944305,1.9591506,trapped
166906,29.410179,5.0624275,1.9676069,trapped
166907,26.472279,5.1707721,1.9458551,trapped
