Part;Time [s];Np;ForceFluid.x [N/m];ForceFluid.y [N/m];ForceFluid.z [N/m];ForceFluid [N/m];Weight.x [N/m];Weight.y [N/m];Weight.z [N/m];ForceTotal.x [N/m];ForceTotal.y [N/m];ForceTotal.z [N/m];ForceTotal [N/m]
89;0.890029;80; -7.610694131383E+01; -1.425260031858E-31;  9.766816799027E+01;  1.238197785280E+02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -7.610694131383E+01; -1.425260031858E-31;  3.488416705471E+01;  8.372079566779E+01
90;0.900014;80; -2.078603210444E+01; -1.246153843984E-32;  4.407030724392E+00;  2.124808345364E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -2.078603210444E+01; -1.246153843984E-32; -5.837697021116E+01;  6.196716696511E+01
91;0.910031;80; -6.751939431965E+00; -4.478720788513E-34; -2.105745914366E+00;  7.072683504073E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -6.751939431965E+00; -4.478720788513E-34; -6.488974684992E+01;  6.524007918710E+01
92;0.920000;80; -4.492578054820E+00; -7.834428386152E-33;  9.524174908462E+00;  1.053058238017E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -4.492578054820E+00; -7.834428386152E-33; -5.325982602709E+01;  5.344896936345E+01
93;0.930006;80; -7.132147328805E+00; -2.207712029501E-32;  2.485705310668E+01;  2.586001961848E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -7.132147328805E+00; -2.207712029501E-32; -3.792694782887E+01;  3.859172057753E+01
94;0.940018;80; -4.846696702258E+01; -1.990045049993E-31;  1.853203409767E+02;  1.915533233126E+02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -4.846696702258E+01; -1.990045049993E-31;  1.225363400412E+02;  1.317732959406E+02
95;0.950034;80; -1.216588911519E+01; -5.482885280702E-32;  5.343215457428E+01;  5.479967153563E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -1.216588911519E+01; -5.482885280702E-32; -9.351846361278E+00;  1.534489779465E+01
96;0.960022;80; -2.179830125998E+00; -4.733191670391E-33;  6.814201437447E+00;  7.154369336867E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -2.179830125998E+00; -4.733191670391E-33; -5.596979949811E+01;  5.601223183588E+01
97;0.970027;80; -1.951812769040E+00; -7.237696044061E-33;  6.543858821152E+00;  6.828737903636E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -1.951812769040E+00; -7.237696044061E-33; -5.624014211440E+01;  5.627400072977E+01
98;0.980005;80; -1.439997004739E+01; -1.456132596664E-32;  1.492081748010E+01;  2.073619858220E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -1.439997004739E+01; -1.456132596664E-32; -4.786318345546E+01;  4.998243159207E+01
