time_s,relative_time_after_impact_s,x_m,y_positive_m,y_negative_m
1.800000000000000044e+00,0.000000000000000000e+00,-2.665739059448242188e-01,1.383211016654968262e-01,-1.383211016654968262e-01
1.800000000000000044e+00,0.000000000000000000e+00,-2.605741024017333984e-01,1.378376632928848267e-01,-1.378376632928848267e-01
1.800000000000000044e+00,0.000000000000000000e+00,-2.545742392539978027e-01,1.366979628801345825e-01,-1.366979628801345825e-01
1.800000000000000044e+00,0.000000000000000000e+00,-2.485743761062622070e-01,1.373109072446823120e-01,-1.373109072446823120e-01
1.800000000000000044e+00,0.000000000000000000e+00,-2.425745725631713867e-01,1.377343237400054932e-01,-1.377343237400054932e-01
1.800000000000000044e+00,0.000000000000000000e+00,-2.365747094154357910e-01,1.389563977718353271e-01,-1.389563977718353271e-01
1.800000000000000044e+00,0.000000000000000000e+00,-2.305748462677001953e-01,1.369564682245254517e-01,-1.369564682245254517e-01
1.800000000000000044e+00,0.000000000000000000e+00,-2.245750427246093750e-01,1.363348066806793213e-01,-1.363348066806793213e-01
1.800000000000000044e+00,0.000000000000000000e+00,-2.185751795768737793e-01,1.372620165348052979e-01,-1.372620165348052979e-01
1.800000000000000044e+00,0.000000000000000000e+00,-2.125753164291381836e-01,1.367312073707580566e-01,-1.367312073707580566e-01
1.800000000000000044e+00,0.000000000000000000e+00,-2.065755128860473633e-01,1.372506618499755859e-01,-1.372506618499755859e-01
1.800000000000000044e+00,0.000000000000000000e+00,-2.005756497383117676e-01,1.380723863840103149e-01,-1.380723863840103149e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.945757865905761719e-01,1.361250728368759155e-01,-1.361250728368759155e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.885759830474853516e-01,1.370224654674530029e-01,-1.370224654674530029e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.825761198997497559e-01,1.367833316326141357e-01,-1.367833316326141357e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.765762567520141602e-01,1.377604305744171143e-01,-1.377604305744171143e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.705764532089233398e-01,1.365947574377059937e-01,-1.365947574377059937e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.645765900611877441e-01,1.376952379941940308e-01,-1.376952379941940308e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.585767269134521484e-01,1.374582648277282715e-01,-1.374582648277282715e-01
1.800000000000000044e+00,0.000000000000000000e+00,-1.525768637657165527e-01,1.374037563800811768e-01,-1.374037563800811768e-01
