Part;Time [s];Np;ForceFluid.x [N/m];ForceFluid.y [N/m];ForceFluid.z [N/m];ForceFluid [N/m];Weight.x [N/m];Weight.y [N/m];Weight.z [N/m];ForceTotal.x [N/m];ForceTotal.y [N/m];ForceTotal.z [N/m];ForceTotal [N/m]
63;0.630004;80; -1.333745171707E-06; -1.903893664974E-39; -5.912780810036E-07;  1.458933155469E-06;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -1.333745171707E-06; -1.903893664974E-39; -6.278400152683E+01;  6.278400152683E+01
64;0.640024;80; -4.845328863193E-06; -3.586091539979E-39;  4.577636826752E-07;  4.866904496872E-06;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -4.845328863193E-06; -3.586091539979E-39; -6.278400047779E+01;  6.278400047779E+01
65;0.650006;80;  3.897828686390E-07; -5.849850847251E-40;  1.716613834901E-07;  4.259088109750E-07;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  3.897828686390E-07; -5.849850847251E-40; -6.278400076389E+01;  6.278400076389E+01
66;0.660005;80; -2.140658431170E-06; -5.829125642655E-40; -1.354217545497E-06;  2.533046323989E-06;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -2.140658431170E-06; -5.829125642655E-40; -6.278400228977E+01;  6.278400228977E+01
67;0.670030;80; -9.942831303412E-02; -7.812091309116E-35;  1.745571925425E-01;  2.008885335233E-01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -9.942831303412E-02; -7.812091309116E-35; -6.260944374301E+01;  6.260952269263E+01
68;0.680016;80; -6.285980797934E-06; -2.324765117085E-39;  6.484985487987E-07;  6.319343712743E-06;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -6.285980797934E-06; -2.324765117085E-39; -6.278400028706E+01;  6.278400028706E+01
69;0.690017;80; -1.341306076966E-06; -2.295519457179E-39;  2.670288165518E-07;  1.367628012646E-06;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -1.341306076966E-06; -2.295519457179E-39; -6.278400066853E+01;  6.278400066853E+01
70;0.700011;80; -1.511973915506E-06; -2.363690526536E-39; -2.098083487567E-07;  1.526461484735E-06;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -1.511973915506E-06; -2.363690526536E-39; -6.278400114536E+01;  6.278400114536E+01
71;0.710023;80; -2.281047092074E-06; -6.594647998630E-40;  8.392334149221E-07;  2.430532567356E-06;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -2.281047092074E-06; -6.594647998630E-40; -6.278400009632E+01;  6.278400009632E+01
72;0.720025;80;  4.213450066971E-03; -6.149818167855E-35; -1.713706995751E-02;  1.764744537307E-02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  4.213450066971E-03; -6.149818167855E-35; -6.280113800551E+01;  6.280113814686E+01
73;0.730017;80; -2.638418916847E-06; -9.550185488314E-40; -5.912780810036E-07;  2.703860970881E-06;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -2.638418916847E-06; -9.550185488314E-40; -6.278400152683E+01;  6.278400152683E+01
74;0.740028;80; -2.528945078798E-06; -2.453727177197E-39;  7.629395042841E-08;  2.530095646107E-06;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -2.528945078798E-06; -2.453727177197E-39; -6.278400085926E+01;  6.278400085926E+01
75;0.750023;80; -2.384103640321E-02; -6.161084713166E-35;  3.904636441241E-02;  4.574946546797E-02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -2.384103640321E-02; -6.161084713166E-35; -6.274495457114E+01;  6.274495910055E+01
76;0.760001;80; -2.726572456813E-06; -1.552241733747E-39;  2.670288165518E-07;  2.739617081112E-06;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -2.726572456813E-06; -1.552241733747E-39; -6.278400066853E+01;  6.278400066853E+01
77;0.770009;80; -1.019059817417E-06; -3.674512913876E-40;  1.716613834901E-07;  1.033416925571E-06;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -1.019059817417E-06; -3.674512913876E-40; -6.278400076389E+01;  6.278400076389E+01
78;0.780024;80; -3.979771487800E-06; -7.386905728405E-40;  9.346008479838E-07;  4.088038629974E-06;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -3.979771487800E-06; -7.386905728405E-40; -6.278400000095E+01;  6.278400000095E+01
79;0.790022;80; -1.030523484326E-06; -1.272185785506E-39;  7.629395042841E-08;  1.033343804655E-06;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -1.030523484326E-06; -1.272185785506E-39; -6.278400085926E+01;  6.278400085926E+01
80;0.800006;80;  1.832219125965E-08; -7.375314187335E-42;  4.577636826752E-07;  4.581302127878E-07;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  1.832219125965E-08; -7.375314187335E-42; -6.278400047779E+01;  6.278400047779E+01
81;0.810006;80; -3.633436212040E-07; -1.566005707858E-40; -2.098083487567E-07;  4.195689815485E-07;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -3.633436212040E-07; -1.566005707858E-40; -6.278400114536E+01;  6.278400114536E+01
82;0.820010;80;  7.736399538145E-07; -9.338822032596E-40; -1.907348263330E-08;  7.738750389294E-07;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  7.736399538145E-07; -9.338822032596E-40; -6.278400095463E+01;  6.278400095463E+01
83;0.830022;80; -1.307776870477E-06; -7.962818386347E-40;  3.623962496135E-07;  1.357059830917E-06;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -1.307776870477E-06; -7.962818386347E-40; -6.278400057316E+01;  6.278400057316E+01
84;0.840000;80; -1.397324006319E-06; -9.408156880346E-40;  7.629395042841E-08;  1.399405282792E-06;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -1.397324006319E-06; -9.408156880346E-40; -6.278400085926E+01;  6.278400085926E+01
85;0.850003;80; -3.080667528150E-02;  1.987554823292E-36;  6.759775262472E-02;  7.428665695677E-02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -3.080667528150E-02;  1.987554823292E-36; -6.271640318293E+01;  6.271641074914E+01
86;0.860012;80; -2.305714752134E-06; -5.073623972147E-40;  1.716613834901E-07;  2.312096050944E-06;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -2.305714752134E-06; -5.073623972147E-40; -6.278400076389E+01;  6.278400076389E+01
87;0.870018;80; -3.253517297839E-06; -2.441978410438E-40;  6.484985487987E-07;  3.317517923860E-06;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -3.253517297839E-06; -2.441978410438E-40; -6.278400028706E+01;  6.278400028706E+01
88;0.880026;80; -1.836983305203E-06; -6.422997341983E-40;  3.623962496135E-07;  1.872388502776E-06;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -1.836983305203E-06; -6.422997341983E-40; -6.278400057316E+01;  6.278400057316E+01
89;0.890029;80; -7.386874029495E-03;  2.363227410559E-36;  1.730783488315E-02;  1.881826390160E-02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -7.386874029495E-03;  2.363227410559E-36; -6.276669310067E+01;  6.276669353534E+01
90;0.900014;80;  5.755044524326E-03; -5.844177473328E-35; -2.321092640177E-02;  2.391375424114E-02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  5.755044524326E-03; -5.844177473328E-35; -6.280721186196E+01;  6.280721212562E+01
91;0.910031;80; -1.290400305853E-09; -2.725259307013E-41;  7.629395042841E-08;  7.630486226265E-08;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -1.290400305853E-09; -2.725259307013E-41; -6.278400085926E+01;  6.278400085926E+01
92;0.920000;80;  8.079730327953E-07; -6.219247140936E-40; -5.912780810036E-07;  1.001214358067E-06;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  8.079730327953E-07; -6.219247140936E-40; -6.278400152683E+01;  6.278400152683E+01
93;0.930006;80; -1.638501423242E-06;  2.507574593829E-40;  7.438659818604E-07;  1.799450892060E-06;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -1.638501423242E-06;  2.507574593829E-40; -6.278400019169E+01;  6.278400019169E+01
94;0.940018;80; -1.697737064251E-07;  2.259551768440E-41;  1.716613834901E-07;  2.414347571810E-07;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -1.697737064251E-07;  2.259551768440E-41; -6.278400076389E+01;  6.278400076389E+01
95;0.950034;80; -1.824338333895E-06; -5.584436506362E-40;  2.670288165518E-07;  1.843777303632E-06;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -1.824338333895E-06; -5.584436506362E-40; -6.278400066853E+01;  6.278400066853E+01
96;0.960022;80; -3.019163435750E-06; -6.159932978654E-40;  5.531311157370E-07;  3.069413931513E-06;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -3.019163435750E-06; -6.159932978654E-40; -6.278400038242E+01;  6.278400038242E+01
97;0.970027;80; -6.309327269532E-02;  6.038697772037E-35;  1.674259020005E-01;  1.789195174375E-01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -6.309327269532E-02;  6.038697772037E-35; -6.261657503355E+01;  6.261660682035E+01
98;0.980005;80; -4.639856182959E-07;  1.204388022065E-40; -1.907348263330E-08;  4.643774883919E-07;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -4.639856182959E-07;  1.204388022065E-40; -6.278400095463E+01;  6.278400095463E+01
99;0.990034;80; -3.079139666848E-06;  1.773722984917E-40;  9.346008479838E-07;  3.217853295756E-06;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -3.079139666848E-06;  1.773722984917E-40; -6.278400000095E+01;  6.278400000095E+01
100;1.000022;80; -1.313430789405E-06; -3.881004054761E-40;  6.484985487987E-07;  1.464804016363E-06;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -1.313430789405E-06; -3.881004054761E-40; -6.278400028706E+01;  6.278400028706E+01
101;1.010020;80; -4.488474986955E-03; -1.308859697839E-35;  9.746151115692E-03;  1.073004516665E-02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -4.488474986955E-03; -1.308859697839E-35; -6.277425478444E+01;  6.277425494491E+01
